Student,LPIPS,SSIM
113590023.png,0.0,1.0
113590050.png,0.24356991052627563,0.5471108098997582
113590018.png,0.3054315149784088,0.5005615598873615
113590045.png,0.3074902296066284,0.5416107470638309
113AB0018.png,0.3117140829563141,0.5660691473566747
113590059.png,0.317379355430603,0.5069459945398586
113590028.png,0.3297521471977234,0.517906770433464
113590052.png,0.3451705873012543,0.4865914149712884
112590040.png,0.35645216703414917,0.5386496140685978
113590022.png,0.3601747155189514,0.5889680963960928
112590452.png,0.3647013306617737,0.4998507502286598
113590021.png,0.36844533681869507,0.558112295042147
113AC1012.png,0.3729419410228729,0.5254411515448819
113590061.png,0.3763860762119293,0.5685836963986962
113590011.png,0.37932395935058594,0.5211093108382322
113590001.png,0.38730132579803467,0.5467486682646944
113590049.png,0.38946959376335144,0.4670431158455714
112590454.png,0.3923107981681824,0.5268025841376273
113590044.png,0.39628899097442627,0.4869791256459989
113370239.png,0.3967982232570648,0.5654453576903647
113590039.png,0.39692214131355286,0.5537519715713275
113590033.png,0.39847123622894287,0.5598251667889464
113590056.png,0.3998171091079712,0.5222144852870964
113590051.png,0.4028295874595642,0.5689574018891813
112590455.png,0.4056415557861328,0.510399150359497
113590036.png,0.4079850912094116,0.48142859137497596
113590015.png,0.4088141620159149,0.5318709546822745
113590451.png,0.4090770184993744,0.5109857425649191
110590455.png,0.40927234292030334,0.5390572247941058
114054809.png,0.4103798568248749,0.5528492777752451
113590008.png,0.41045814752578735,0.38781968113043797
113590450.png,0.41221243143081665,0.5488292689538126
112590058.jpg,0.41280317306518555,0.39472095699619664
111590062.png,0.41521191596984863,0.5324894431940406
113590062.png,0.415755957365036,0.46033363066017147
113590031.png,0.41805678606033325,0.5161119796680763
111590047.png,0.42266330122947693,0.5436708566905191
113590006.png,0.423626184463501,0.44717277501780267
113590002.png,0.42431333661079407,0.534057352249036
113590026.png,0.4271015226840973,0.5470010037876758
113590040.png,0.434569388628006,0.5356110231649774
113590003.png,0.44461071491241455,0.5317225717702007
111590028.png,0.4487064778804779,0.5430061314481919
113590042.png,0.4495565593242645,0.4860766654033758
113590060.png,0.4516751766204834,0.5734522728478275
113590032.png,0.45270881056785583,0.5712934589408551
113590057.png,0.4687686264514923,0.4730482518993974
111590455.png,0.4752624034881592,0.4325514092504049
113590005.png,0.48945939540863037,0.5739656388934237
113590013.png,0.49812930822372437,0.3154965259709866
113590047.png,0.4998284578323364,0.5727962126558725
113590004.png,0.5015395879745483,0.5671521925972419
113590010.png,0.515224039554596,0.4699009119978918
113590043.png,0.5183866024017334,0.5807277770354999
113590025.png,0.5216121673583984,0.5870104102064823
111590042.png,0.5409998893737793,0.5911231683805372
